signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,bars_held,reason
2024-07-18 04:00:00+00:00,2024-07-18 08:00:00+00:00,2024-07-23 12:00:00+00:00,long,64724.4718,66661.3332,0.059094183074877744,114.45724216226368,-3.493861566349584,-11.63614177789676,99.32723881801735,124.0,30,max_hold_time
2024-07-23 08:00:00+00:00,2024-07-23 12:00:00+00:00,2024-07-25 04:00:00+00:00,long,66674.6668,63810.41734933599,0.06627094689612054,-189.8165232421973,-3.891316537078409,-2.704944781577734,-196.41278456085342,40.0,10,stop
2024-07-25 20:00:00+00:00,2024-07-26 00:00:00+00:00,2024-07-29 16:00:00+00:00,long,65864.5858,66819.30662745165,0.05946826696087305,56.77559304000005,-3.550716511327555,-9.305404578299777,43.91947195037271,88.0,22,trailing_stop
2024-07-29 16:00:00+00:00,2024-07-29 20:00:00+00:00,2024-08-01 00:00:00+00:00,long,67384.7378,64116.48471253412,0.05709354786522676,-186.5961640849086,-3.3785421038348407,-3.1173975062168817,-193.09210369496031,52.0,13,stop
2024-08-04 12:00:00+00:00,2024-08-04 16:00:00+00:00,2024-08-07 00:00:00+00:00,short,59115.0879,57260.03110561887,0.04921331368019581,91.29349191645684,-2.5772423562871376,2.1601786496594935,90.8764282098292,56.0,14,trailing_stop
2024-08-07 00:00:00+00:00,2024-08-07 04:00:00+00:00,2024-08-08 16:00:00+00:00,short,56865.3129,59764.85512414812,0.0312428062786195,-90.58983600573727,-1.639734185619586,0.6485551842833882,-91.58101500707347,36.0,9,trailing_stop
2024-08-11 20:00:00+00:00,2024-08-12 00:00:00+00:00,2024-08-17 04:00:00+00:00,short,58722.1272,59151.9146,0.053357206519537174,-22.9322550612946,-2.830243316226821,4.581594184199431,-21.18090419332199,124.0,30,max_hold_time
2024-08-25 00:00:00+00:00,2024-08-25 04:00:00+00:00,2024-08-27 20:00:00+00:00,long,64140.4134,61425.318810251614,0.0671934886028463,-182.43667737190765,-3.796739818279916,-7.1934799116100745,-193.42689710179764,64.0,16,stop
2024-08-29 16:00:00+00:00,2024-08-29 20:00:00+00:00,2024-09-03 00:00:00+00:00,short,59239.0755,59813.88719061066,0.051244227602236646,-29.455781102079033,-2.745349702577208,3.1032636434700342,-29.097867161186212,100.0,25,trailing_stop
2024-09-03 00:00:00+00:00,2024-09-03 04:00:00+00:00,2024-09-08 08:00:00+00:00,short,59053.0941,54440.4435,0.06982574907117003,322.08178334858195,-3.5661470749456505,4.825120957659595,323.34075723129587,124.0,30,max_hold_time
2024-09-08 04:00:00+00:00,2024-09-08 08:00:00+00:00,2024-09-09 16:00:00+00:00,short,54429.5565,57029.08906403692,0.07094654430376017,-184.42785222351256,-3.558422580995721,0.6499140954204782,-187.33636070908778,32.0,8,stop
